freq_buyer,user_id
54,375262940316
39,136177547200
38,678455615106
38,74851219961
37,718081413265
23,667666339843
19,791163466905
18,80975410601
16,93282143977
15,758832134129
15,975721045133
15,179264231036
15,830406853183
14,499148826643
13,490154883193
13,216372278895
13,380153164918
13,838224339504
12,269112040278
12,483314480664
12,672374723066
12,682811506458
12,768169453046
12,823222118146
12,373148787563
12,395966770787
12,982534478249
12,483155220474
12,350827608052
12,439898654725
11,636865862439
11,550293888862
11,449775465186
11,53440371352
11,176324063742
11,549730974573
11,815703242077
11,206167025931
11,953125272544
11,970471621922
11,715023280423
11,710587081988
10,533263722635
10,545580658740
10,944478833286
10,540398596327
10,758396842612
10,10828027853
10,654134926357
10,496366147603
10,663145676052
10,992752920987
10,998752475051
10,449087076769
10,74105004796
10,728129751328
10,255133520188
10,416076310843
10,568434308283
10,43793942713
9,970571543105
9,128731366299
9,134972858295
9,462110821852
9,163298376705
9,742189422463
9,926868945775
9,498855486091
9,929720197346
9,522506666883
9,546431507303
9,406744252697
9,777466728853
9,276409472128
9,327780940715
9,760713236309
9,255875397284
9,970804465217
9,529305381372
9,145679365254
9,315413936672
9,482135649339
9,213313515087
9,814837978921
9,53350258561
9,987553997723
9,603361947342
9,945726585003
9,197818952353
9,959718848093
8,765534649553
8,549499586182
8,202111323508
8,544761220251
8,408055044049
8,640113569894
8,90113921431
8,330693787218
8,539263490322
8,963031726969
8,38658241666
8,910528255753
8,551401218649
8,88627224476
8,168025749561
8,360452679499
8,373671705382
8,689762159665
8,237659294546
8,947317086006
8,474053842839
8,842365239082
8,771878837214
8,87984588057
8,830669484333
8,255100753408
8,671653252191
8,264379275881
8,726874927135
8,323819647995
8,351232161022
8,522624060296
8,592131728042
7,670912079459
7,247803844714
7,879859784318
7,840912363788
7,857351545812
7,194767980814
7,289754722772
7,542775558555
7,27112053349
7,760445037575
7,518890971590
7,311448419685
7,765635718858
7,821697889753
7,89262280299
7,151505264165
7,825067845100
7,592701957810
7,764421223046
7,946463116985
7,122082383462
7,123272276446
7,283375380598
7,791075606279
7,832572284049
7,872730647482
7,642041404788
7,256878910132
7,855787229411
7,802465659667
7,704889987821
7,159047656314
7,909255314674
7,396730514013
7,267295973330
7,900849721554
7,915091504219
7,521261008874
7,595366273289
7,529193237265
7,727348829602
7,654852155440
7,577885969349
7,593838216119
7,166737770553
7,423171953941
7,300253072214
7,463392159231
7,201574374678
7,2677400165
7,958175591270
7,884708161407
7,917923553030
7,83013291902
7,525282223770
7,243034670949
7,407966445985
7,200941770354
7,513265287208
7,843291213567
7,752536445449
7,658891698366
7,277382049088
6,633079601647
6,155075315584
6,276912003342
6,278322106171
6,425713822234
6,31816790153
6,379104730881
6,429520852810
6,915519787639
6,497235395107
6,355849532200
6,672251563702
6,439520920914
6,755857223676
6,472134133969
6,50907050383
6,284782238575
6,649232158446
6,926164423442
6,223051048354
6,684015905865
6,255666446825
6,287478777077
6,179207288133
6,339673688051
6,490259663521
6,783162852049
6,391586880485
6,253789828891
6,974141780408
6,858655672801
6,39905765311
6,477331788147
6,907865940980
6,894692890636
6,234684666348
6,99018860417
6,674910184443
6,393109939127
6,412890204233
6,841582926379
6,224006132337
6,518137936178
6,693685749395
6,275425862664
6,698448539486
6,603630676212
6,463733404915
6,754214943008
6,198598626868
6,920181394172
6,847560045866
6,745254447114
6,501760728275
6,825112780099
6,616030671499
6,773425181044
6,94439054123
6,524282980960
6,837803911571
6,875658207854
6,608178186810
6,609164259948
6,885872117474
6,41492311662
6,629333721035
6,238730280222
6,102912513759
6,986319423053
6,1516294874
