user_id,ave_qty
4.62921E+11,1413
39804770869,1316
4.62005E+11,1250
7.17478E+11,1020.5
3.68781E+11,923
4.0688E+11,908
7.94118E+11,886
3.66614E+11,861
6.16908E+11,855
1.98887E+11,825
8.24992E+11,770.5
8.59981E+11,680
9.10813E+11,660
4.21543E+11,630
6.20367E+11,621
3.18421E+11,610
8.83156E+11,600
9.51775E+11,599
6.75721E+11,575
69889346626,565
2.30061E+11,561
28835137526,544
7.34517E+11,527
2.34792E+11,511
38960193601,504
2.87347E+11,501
7.59493E+11,500
7.39237E+11,480
5.04493E+11,467
8.98398E+11,458
6.20778E+11,448.25
2.5809E+11,444.3333
6.7449E+11,443
9.46363E+11,440
10650602187,437
73496391642,433
3.66452E+11,425
4.50025E+11,421
6.24043E+11,406
6.22017E+11,402
9.71222E+11,402
99646913985,400
6.99489E+11,394
5.82062E+11,385
2.35173E+11,383
6.61632E+11,382
7.64584E+11,368
6.16497E+11,364
8.37807E+11,360
1.81762E+11,360
9.69894E+11,360
9.47372E+11,360
8.88924E+11,360
8.99314E+11,357
32376143803,351.5
3.00724E+11,350.5
8.81766E+11,339
3.29091E+11,334.6667
5.89866E+11,327
5.99035E+11,325
3.47046E+11,318
3.2195E+11,315
1.42901E+11,313
2.49878E+11,312
2.05454E+11,308
7.78405E+11,308
2.91819E+11,306.5
5.16066E+11,301
3.61994E+11,301
5.30559E+11,300
8.2643E+11,300
33961095554,295
5.20299E+11,288
9.98024E+11,285
3.57764E+11,280
33950529655,280
2.8164E+11,278.5
32304968860,278
63128017414,277
2.09745E+11,277
3.74161E+11,267.5
2.7634E+11,266
6.87918E+11,264
40778905710,264
8.18774E+11,261.6667
6.11274E+11,261.4
4.42935E+11,259
3.78663E+11,258
3.55828E+11,255.6667
1.72061E+11,255
7.58683E+11,255
4.49726E+11,254
9.99512E+11,251
5.76548E+11,251
7.48207E+11,250
1.38398E+11,250
9.39397E+11,250
9.65382E+11,248.5
8.04576E+11,248
9401417328,248
7.72885E+11,246
68327464012,245
5.86284E+11,243.5
3.46561E+11,242
3.66971E+11,242
6.62377E+11,240
8.36384E+11,240
9.95087E+11,240
4.1387E+11,240
3.97797E+11,239.25
6.40442E+11,236.3333
4.05318E+11,236
8.68229E+11,235
3.1242E+11,234.5
7.23693E+11,233
5.46075E+11,232
5.495E+11,230.625
5.96869E+11,230
4.29159E+11,228
4.34009E+11,227.5
1.24782E+11,227
4.42746E+11,226
8.15703E+11,224.3636
8.1263E+11,224
95978515210,224
2.22051E+11,224
6.86088E+11,224
2.79523E+11,222.25
4.57668E+11,222
5.53857E+11,222
3.06713E+11,220.5
5.33227E+11,218
5.71702E+11,217
7.16673E+11,214
2.13805E+11,211
6.02497E+11,211
13485453090,211
2.23335E+11,210.5
9.45608E+11,210
2.48286E+11,210
2.24545E+11,210
1.23272E+11,208.2857
4.91153E+11,208
6.24418E+11,208
1.82412E+11,208
2.81874E+11,206
8.52262E+11,204
3.15079E+11,203.6
9.63565E+11,203.25
56607902758,202
9.93921E+11,202
9.02394E+11,202
3.61486E+11,201.5
3.11448E+11,200.4286
8.63792E+11,200
8.2803E+11,200
8.07885E+11,200
1.85654E+11,200
9.70074E+11,200
6.90574E+11,200
3.39345E+11,199
4.1689E+11,199
6.90147E+11,198
5.07887E+11,198
3.37671E+11,197
4.34754E+11,196
3.68575E+11,196
8.50236E+11,196
4.06156E+11,195
6.09036E+11,195
9.97044E+11,194.5
4.07067E+11,192
7.46663E+11,192
9.04475E+11,192
7.8855E+11,191
5.78731E+11,189.5
3394141510,189
8.75788E+11,188
1.78274E+11,187.3333
8.78811E+11,187
8.30112E+11,186
3.3178E+11,186
5.29761E+11,186
7.79038E+11,185.5
77830006545,184.3333
8.44865E+11,184
1.91993E+11,184
9.7987E+11,182
6.66723E+11,182
5.82485E+11,181
78768573506,181
8.24891E+11,181
9.28268E+11,180
1.23542E+11,180
4.12057E+11,180
6.96464E+11,179
5.44761E+11,179
5.22301E+11,179
7.86613E+11,178
9.90431E+11,177.5
1.46304E+11,176
8.027E+11,175.3333
1.07313E+11,175.3333
3.5917E+11,174.3333
2.39698E+11,174
7.3579E+11,174
4.22391E+11,174
9.74409E+11,174
4.71078E+11,172.5
7.88397E+11,172
7.51898E+11,172
5.21419E+11,171.6667
2.15245E+11,171.3333
3.33869E+11,171
1.03787E+11,169
4.02064E+11,169
7.10244E+11,169
7.34381E+11,168.75
7.49766E+11,168.3333
5.65567E+11,168
4.90155E+11,167.3846
1.19382E+11,167.3333
2.06645E+11,167
9.72148E+11,167
6.16328E+11,166.5
9.42496E+11,165
2.95781E+11,164
7.33636E+11,164
2.75426E+11,162.3333
2.02759E+11,162
9.33452E+11,162
4.39899E+11,161.8333
9.13129E+11,161.4
6.82812E+11,161.3333
5.1753E+11,161
7.75355E+11,161
4.98513E+11,161
7.39001E+11,161
8.09787E+11,161
7.67565E+11,160.5
7.18081E+11,160.2162
2.53188E+11,160
7.23584E+11,160
3.24303E+11,160
7.26052E+11,159
2.96808E+11,158
4.22422E+11,158
4.96554E+11,158
37922902280,157.5
8.25064E+11,157
7.21366E+11,157
2.72837E+11,156.3333
9.70572E+11,156.1111
7.12613E+11,156
6.12459E+11,156
5.84953E+11,156
5.92202E+11,155.5
7.24788E+11,155
1.93144E+11,155
8.99042E+11,155
1.35331E+11,154
2.14447E+11,154
7.27084E+11,153.3333
4.49525E+11,153
5.72222E+11,153
9.3072E+11,153
3.59994E+11,152.6667
1516294874,152.5
9.78387E+11,152.5
72693034355,152
6.4687E+11,152
7.69617E+11,152
2.95107E+11,152
99096508933,152
7.71804E+11,151
4.09373E+11,151
95224192809,151
5.09123E+11,151
9.31784E+11,151
6.02059E+11,150.5
29612033561,150
8.86039E+11,150
1.96447E+11,150
4.292E+11,150
2.66976E+11,149
9.02386E+11,148.8
8.68614E+11,148.4
4.17422E+11,148
2.42209E+11,148
5.08788E+11,148
69282691019,147.6667
5.66488E+11,147.5
7.39237E+11,146.5
4.7822E+11,146
4.9875E+11,146
6.73818E+11,145.5
8.58681E+11,145
6.23336E+11,144
4.21947E+11,144
2.58442E+11,143.5
3.29029E+11,143
1.08107E+11,143
3.72459E+11,143
9.29449E+11,142
9.1111E+11,141.5
7.42505E+11,141
5.05734E+11,141
8.51966E+11,141
8.86072E+11,140
4.58963E+11,140
6.95298E+11,140
8.20661E+11,140
37006820869,140
8.47992E+11,140
8.83297E+11,140
6.00983E+11,139.6667
56197869905,139.5
2.30103E+11,139
4.07606E+11,139
7.69355E+11,138.5
4.12479E+11,138
9.30596E+11,138
2.3596E+11,137.75
2.0124E+11,137.5
3.65319E+11,137
8.13064E+11,137
6.55656E+11,137
4.2191E+11,137
2.79743E+11,137
1.64676E+11,136.5
8.7012E+11,136.5
4.99227E+11,136
2.59213E+11,136
5.00615E+11,136
7.59964E+11,136
3.95446E+11,136
2.80186E+11,136
8.33102E+11,136
6.84342E+11,136
1.13706E+11,136
9.91497E+11,136
2.17993E+11,136
7.3092E+11,135
3.41478E+11,135
1.66634E+11,134.5
6.67503E+11,134.3333
4.08708E+11,134
5.59801E+11,134
3.77956E+11,134
1.64437E+11,134
3.79442E+11,134
6.41729E+11,133.5
6.97893E+11,133
7.35964E+11,132
3.63908E+11,132
1.14385E+11,132
5.96575E+11,132
5.50216E+11,132
8.40845E+11,132
3.57574E+11,131.6667
61492025283,131.6
7260053068,131
5.08003E+11,131
4.53191E+11,131
38485777198,131
1.79759E+11,131
1.21097E+11,131
4.18231E+11,130.3333
8.62126E+11,130
58423631321,130
5.9346E+11,130
7.01232E+11,130
21115658016,130
3.22136E+11,130
6.83764E+11,130
7.54051E+11,129.75
8.09691E+11,129
3.86101E+11,129
9.27677E+11,129
5.17252E+11,129
1.654E+11,128.6667
1.97819E+11,128.1111
8.34697E+11,128
4.05249E+11,127.5
4.83922E+11,127
7.23155E+11,127
7.28097E+11,126.5
1.61398E+11,126
3.8887E+11,126
7.79428E+11,126
9.78776E+11,126
1.79441E+11,126
1.17263E+11,126
7.99651E+11,126
1.91625E+11,126
27374784577,125
5.45368E+11,125
8.58475E+11,125
7.17267E+11,124.5
2.61142E+11,124.2
6.99037E+11,124
5.48265E+11,124
2.6278E+11,124
4.86356E+11,124
7.44964E+11,123.5
66837643466,123.5
91359626669,123.3333
8.04264E+11,123
2.43311E+11,123
7.41556E+11,122.5
5.22507E+11,122.2222
29201140440,122
5.45129E+11,122
6.83923E+11,122
3.89642E+11,122
66043783301,122
4.44549E+11,122
5.32677E+11,122
8.42546E+11,122
2.82582E+11,122
6.74161E+11,121.6667
6.51411E+11,121.5
6.43532E+11,121.5
57044700946,121
6.75203E+11,121
2.24579E+11,121
3.98642E+11,121
3.41013E+11,121
6.74315E+11,121
83004793997,121
1.44715E+11,120.75
5.33918E+11,120.6667
2.06245E+11,120.5
6.442E+11,120.5
3.8041E+11,120.3333
60111369435,120
