user_id,order_ave
2.8171E+11,968
37006820869,868
5.0922E+11,860
68327464012,833
4.2367E+11,832
38960193601,806
1.56802E+11,774
1.52029E+11,774
3.92498E+11,774
1.69634E+11,732
5.66711E+11,710
9.80117E+11,710
9.28268E+11,657
1.8124E+11,654
23434050304,647
2.54506E+11,647
7.60417E+11,647
2.23271E+11,647
3.51496E+11,647
8.6143E+11,647
7.4382E+11,647
2.40229E+11,647
1.85134E+11,647
6.17654E+11,647
1.07482E+11,647
2.55086E+11,647
2.08889E+11,645
1.40668E+11,632
6.1685E+11,632
8.93005E+11,632
8.25838E+11,632
3.5336E+11,632
29074899099,621
5.10645E+11,621
1.66113E+11,620
9.39397E+11,613
1.59735E+11,599
9.6221E+11,597
4.34044E+11,595
84024951805,588
1.12241E+11,580
8.62043E+11,580
35713852435,577.5
56932550679,569.3333
6.27383E+11,562.5
4.71253E+11,558
7.75623E+11,558
6.87753E+11,558
6.16875E+11,556
2.61007E+11,550
7.59493E+11,550
7.18081E+11,545.9556
5.90032E+11,540
6.17157E+11,516
19348226505,516
4.51591E+11,516
5.60443E+11,516
3.97803E+11,516
9.36363E+11,516
2.30008E+11,516
1.82183E+11,516
6.93867E+11,516
17018247178,514.5
8.85219E+11,513
3.27602E+11,504
3.45585E+11,502.5
5.68454E+11,500
8.55968E+11,500
8.20661E+11,497
4.99368E+11,496
5.34816E+11,495
2078795007,495
18439291763,495
5.58127E+11,495
9.2737E+11,495
5.70835E+11,490
4.53094E+11,485
8.44914E+11,484
1.51868E+11,479
16275334946,477
8.19504E+11,476
7.83291E+11,474
1.1283E+11,470
7.1297E+11,464
8.2775E+11,454
3.0078E+11,452
9.57638E+11,452
7.84104E+11,452
3.42986E+11,452
3.24831E+11,450
46323403688,450
2.29457E+11,450
4.73909E+11,450
5.00739E+11,450
4.5935E+11,447
9.03393E+11,446
1.53289E+11,446
4.70345E+11,435
6.62377E+11,432
1.92774E+11,431
1.1183E+11,429
3.48115E+11,427
3.02115E+11,426
1.2166E+11,425
5.093E+11,417.5
7.36723E+11,414
8.72859E+11,414
5.64475E+11,414
5.24827E+11,414
6.54459E+11,413
3.45932E+11,412
6089616775,410
4.03733E+11,405
6.56357E+11,405
5.96605E+11,405
1.03231E+11,405
2.12172E+11,405
1.92398E+11,405
4.77381E+11,405
3.36367E+11,405
7.1553E+11,405
9.77853E+11,405
4.01379E+11,405
71562926719,405
4.36415E+11,405
8.19563E+11,405
2.77589E+11,405
1.23152E+11,405
2.26752E+11,405
6.91361E+11,405
3.6605E+11,405
1.44031E+11,405
7.57144E+11,405
3.41166E+11,405
7.95705E+11,405
5.47725E+11,405
2.02979E+11,405
1.12164E+11,405
8.51187E+11,405
6.05819E+11,405
